idx	letter	header	formula	val_r6	val_r12
1	A	=HYPERLINK("#$HP$165")	MTP	Beginning Values	MTP
2	B	vID	7	1	7
3	C	vDate	=EDATE($C$6,B12-1)	2017-06-09 00:00:00	2017-12-09 00:00:00
4	D	vYear	=DATEDIF(sINPUT_Issue_Date,C12,"y")+1	1	1
5	E	vMonth	=IF(E11=12,1,E11+1)	1	7
6	F	vPolicyMonth	=IF(E12<>E11,F11+1,F11)	1	7
7	G	vAttainedAge	=D12+sINPUT_Issue_Age-1	25	25
8	H	Monthliversary	True	True	True
9	I	vAnniversary	=D12<>D11	True	False
10	J	vBeginningOfYearCalc	=OR(I12,N12)	True	False
11	K	vInforceValuationDate	=AND(sINPUT_InforceIndicator="Y", sEffectiveValuationDate=C12)	False	False
12	L	vLiveCalc	=IF(sINPUT_InforceIndicator="N",TRUE,vDate >= sINPUT_ForecastDate)	False	False
13	M	v1035Date	=IF(INPUT!$B$32="",vID=1,vDate=sINPUT_1035_Exchange_EffectiveDate)	False	False
14	N	vForecastDate	=AND(sINPUT_InforceIndicator="Y", sINPUT_ForecastDate=C12)	False	False
15	O	vForecasting	=OR(O11,N12)	False	False
16	P	Next Anniversary	=DATE(YEAR(vDate)+IF(MONTH(vDate)<sPolicyIssueMonth,0,1),sPolicyIssueMonth, sPolicyIssueDay)	2018-06-09 00:00:00	2018-06-09 00:00:00
17	Q	vDaysToNextAnnivesary	=P12-C12	365	182
18	R	blnLeapPolicyYear	=IF(D12<>D11,MONTH(DATE(YEAR(C12)+1,2,29))=2,R11)	False	False
19	S	blnLeapCalendarYear	=IF(R12,MONTH(DATE(YEAR(C12),2,29))=2,FALSE)	False	False
20	T	Leap Day To Remove	=IF(AND(S12,R12),DATE(YEAR(C12),2,29),"")		
21	U	LeapDayRemoval	=IF(T12<>"",AND(T12>C12,T12<=C13))	False	False
22	V				
23	W	vBAV	=VV11	0	-159.6337540224544
24	X	vAdvRegIntFactor	=sRates_LNCRG*(vDaysToNextAnnivesary/365)	0.06	0.029917808219178083
25	Y	vAdvPrefIntFactor	=sRates_PrefLNCRG*(vDaysToNextAnnivesary/365)	0.06	0.029917808219178083
26	Z	LoanAdvanced / B_RegLN_Princ	=VO11	0	0
27	AA	=sLoanType="Advance" / B_RegLN_Int	=IF(blnAdvanceLoan,IF(vAnniversary, Z12*vAdvRegIntFactor/(1-vAdvRegIntFactor),0),VP11)	0	0
28	AB	B_PrefLN_Princ	=VQ11	0	0
29	AC	B_PrefLN_Int	=IF(blnAdvanceLoan,IF(vAnniversary, AB12*vAdvPrefIntFactor/(1-vAdvPrefIntFactor),0),VR11)	0	0
30	AD	Vbl Ln P	=VS11	0	0
31	AE	Vbl Ln Int	=VT11	0	0
32	AF	vBegTotalDebt	=SUM(Z12,AA12,AB12,AC12,AD12,AE12)	0	0
33	AG	bPrem TD	=OB11	0	0
34	AH	Beginning Specified Amount / Cov / 1	=EU11	150000	150000
35	AI	Cov / 2	=EV11	0	0
36	AJ	Cov / 3	=EW11	0	0
37	AK	APB / 4	=EX11	0	0
38	AL	Total SA	=SUM(AH12:AJ12)	150000	150000
39	AM	DB Option	=INDEX(vDBO,vID-1)	0	A
40	AN	Surrender charge rates (SCR) don’t vary by band but do vary by S/N rateclass / So SCR should be looked up once before all pol change and once after / SCR 1	=PolicyRates!F10	0	18.2
41	AO	SCR 2	=PolicyRates!G10	0	0
42	AP	SCR 3	=PolicyRates!H10	0	0
43	AQ	SC 1	=IF(DQ11,AH12*AN12/1000,0)	0	2730
44	AR	SC 2	=IF(DR11,AI12*AO12/1000,0)	0	0
45	AS	SC 3	=IF(DS11,AJ12*AP12/1000,0)	0	0
46	AT	vBSC	=SUM(AQ12:AS12)	0	2730
47	AU	CSV	=W12-AT12-SUM(Z12:AE12)	0	-2889.6337540224545
48	AV	BAV Display	=W12	0	-159.6337540224544
49	AW				
50	AX	Input Withdrawal	=IF(NOT(vLiveCalc),0,IF(vBeginningOfYearCalc,INDEX(vINPUT_Withdrawal,vYear),0))	0	0
51	AY	Max Net Allowed	=MAX(0,IF(sINPUT_AllowLoanPayoffByWD, AV12,MIN(AU12-sMD_HoldBack*SU11-25,IF(CT11="A",FC11-25025,AX12))))	0	0
52	AZ	CostBasis before WD	=OD11	0	0
53	BA	Current NetWD will be used for Alternative and Guaranteed values when printing the illustration / vAppliedNetWithdrawal	=IF(AND(sblnPrintMode, sAssumption<>"Current"), INDEX(vCurrentAppliedNetWD,$B12), IF(sInput_Sw2LnAtCostBasis,MIN(AX12,AY12,AZ12),MIN(AX12,AY12)))	0	0
54	BB	Remaining Distribution	=IF(sInput_Sw2LnAtCostBasis,AX12-BA12,0)	0	0
55	BC	CostBasis after WD	=AZ12-BA12	0	0
56	BD	vWithdrawalTD	=IF(vInforceValuationDate,sINPUT_WithdrawalTD,BD11+BA12)	0	0
57	BE	WDYTD	=IF(I12,BA12,BE11+BA12)	0	0
58	BF	Corridor Rate	=PolicyRates!EF10	2.5	2.5
59	BG	Corridor Amount	=IF(BF12*AV12>AL12,BF12*AV12-AL12,0)	0	0
60	BH	Does WD reduce SA	=IF(AND(BA12>BG12,AM12="A"),TRUE,FALSE)	False	False
61	BI	Change in SA from Withdrawal / Cov / 1	=IF(BH12,IF($BA12=0, 0, MIN(AH12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BI$5,$AH12:$AK12)))) ),0)	0	0
62	BJ	Cov / 2	=IF(BI12,IF($BA12=0, 0, MIN(AI12,MAX(0,($BA12-SUMIF($AH$5:$AK$5,">"&BJ$5,$AH12:$AK12)))) ),0)	0	0
