idx	letter	header	formula	val_r12
1	A	=HYPERLINK("#$KW$15")	MTP	MTP
2	B	vID	7	7
3	C	vDate	=EDATE($C$6,B12-1)	1986-01-23 00:00:00
4	D	vYear	=DATEDIF(sINPUT_Issue_Date,C12,"y")+1	1
5	E	vMonth	=IF(E11=12,1,E11+1)	7
6	F	vPolicyMonth	=IF(E12<>E11,F11+1,F11)	7
7	G	vAttainedAge	=D12+sINPUT_Issue_Age-1	27
8	H	Monthliversary	True	True
9	I	vAnniversary	=D12<>D11	False
10	J	vBeginningOfYearCalc	=OR(I12,N12)	False
11	K	vInforceValuationDate	=AND(sINPUT_InforceIndicator="Y", sEffectiveValuationDate=C12)	False
12	L	vLiveCalc	=IF(sINPUT_InforceIndicator="N",TRUE,vDate >= sINPUT_ForecastDate)	False
13	M	v1035Date	=IF(INPUT!$B$32="",vID=1,vDate=sINPUT_1035_Exchange_EffectiveDate)	False
14	N	vForecastDate	=AND(sINPUT_InforceIndicator="Y", sINPUT_ForecastDate=C12)	False
15	O	vForecasting	=OR(O11,N12)	False
16	P	Next Anniversary	=DATE(YEAR(vDate)+IF(MONTH(vDate)<sPolicyIssueMonth,0,1),sPolicyIssueMonth, sPolicyIssueDay)	1986-07-23 00:00:00
17	Q	vDaysToNextAnnivesary	=P12-C12	181
18	R	blnLeapPolicyYear	=IF(D12<>D11,MONTH(DATE(YEAR(C12)+1,2,29))=2,R11)	False
19	S	blnLeapCalendarYear	=IF(R12,MONTH(DATE(YEAR(C12),2,29))=2,FALSE)	False
20	T	Leap Day To Remove	=IF(AND(S12,R12),DATE(YEAR(C12),2,29),"")	
21	U	LeapDayRemoval	=IF(T12<>"",AND(T12>C12,T12<=C13))	False
22	V			
23	W	vBAV	=VX11	-67.95171802659586
24	X	vAdvRegIntFactor	=sRates_LNCRG*(vDaysToNextAnnivesary/365)	0.03669589041095891
25	Y	vAdvPrefIntFactor	=sRates_PrefLNCRG*(vDaysToNextAnnivesary/365)	0.028067397260273977
26	Z	LoanAdvanced / B_RegLN_Princ	=VQ11	0
27	AA	=sLoanType="Advance" / B_RegLN_Int	=IF(blnAdvanceLoan,IF(vAnniversary, Z12*vAdvRegIntFactor/(1-vAdvRegIntFactor),0),VR11)	0
28	AB	B_PrefLN_Princ	=VS11	0
29	AC	B_PrefLN_Int	=IF(blnAdvanceLoan,IF(vAnniversary, AB12*vAdvPrefIntFactor/(1-vAdvPrefIntFactor),0),VT11)	0
30	AD	Vbl Ln P	=VU11	0
31	AE	Vbl Ln Int	=VV11	0
32	AF	vBegTotalDebt	=SUM(Z12,AA12,AB12,AC12,AD12,AE12)	0
33	AG	bPrem TD	=OB11	0
34	AH	Beginning Specified Amount / Cov / 1	=EU11	25000
35	AI	Cov / 2	=EV11	0
36	AJ	Cov / 3	=EW11	0
37	AK	APB / 4	=EX11	0
38	AL	Total SA	=SUM(AH12:AJ12)	25000
39	AM	DB Option	=INDEX(vDBO,vID-1)	A
40	AN	Surrender charge rates (SCR) don’t vary by band but do vary by S/N rateclass / So SCR should be looked up once before all pol change and once after / SCR 1	=PolicyRates!F10	0
41	AO	SCR 2	=PolicyRates!G10	0
42	AP	SCR 3	=PolicyRates!H10	0
