Index,Scale,IssueAge,Duration,Rate
13400,1,0,1,0.045000
13400,1,0,2,0.030830
13400,1,0,3,0.027500
13400,1,0,4,0.024170
13400,1,0,5,0.020830
13400,1,0,6,0.020830
13400,1,0,7,0.018330
13400,1,0,8,0.017500
13400,1,0,9,0.017500
13400,1,0,10,0.018330
13400,1,0,11,0.021670
13400,1,0,12,0.025000
13400,1,0,13,0.030000
13400,1,0,14,0.042500
13400,1,0,15,0.055000
13400,1,0,16,0.069170
13400,1,0,17,0.075830
13400,1,0,18,0.081670
13400,1,0,19,0.085830
13400,1,0,20,0.089170
13400,1,0,21,0.094170
13400,1,0,22,0.096670
13400,1,0,23,0.098330
13400,1,0,24,0.100000
13400,1,0,25,0.099170
13400,1,0,26,0.099170
13400,1,0,27,0.098330
13400,1,0,28,0.097500
13400,1,0,29,0.098330
13400,1,0,30,0.098330
13400,1,0,31,0.095000
13400,1,0,32,0.093330
13400,1,0,33,0.092500
13400,1,0,34,0.093330
13400,1,0,35,0.094170
13400,1,0,36,0.095830
13400,1,0,37,0.099170
13400,1,0,38,0.103330
13400,1,0,39,0.108330
13400,1,0,40,0.115000
13400,1,0,41,0.123330
13400,1,0,42,0.133330
13400,1,0,43,0.146670
13400,1,0,44,0.163330
13400,1,0,45,0.178330
13400,1,0,46,0.198330
13400,1,0,47,0.218330
13400,1,0,48,0.240830
13400,1,0,49,0.260830
13400,1,0,50,0.285830
13400,1,0,51,0.319170
13400,1,0,52,0.351670
13400,1,0,53,0.391670
13400,1,0,54,0.435830
13400,1,0,55,0.485000
13400,1,0,56,0.540000
13400,1,0,57,0.609170
13400,1,0,58,0.679170
13400,1,0,59,0.767500
13400,1,0,60,0.858330
13400,1,0,61,0.972360
13400,1,0,62,1.087150
13400,1,0,63,1.227660
13400,1,0,64,1.383360
13400,1,0,65,1.540530
13400,1,0,66,1.717940
13400,1,0,67,1.893900
13400,1,0,68,2.087910
13400,1,0,69,2.326610
13400,1,0,70,2.561330
13400,1,0,71,2.824570
13400,1,0,72,3.074840
13400,1,0,73,3.349150
13400,1,0,74,3.686120
13400,1,0,75,4.015270
13400,1,0,76,4.367330
13400,1,0,77,4.699250
13400,1,0,78,5.107940
13400,1,0,79,5.484480
13400,1,0,80,5.943120
13400,1,0,81,6.445180
13400,1,0,82,7.046260
13400,1,0,83,7.618250
13400,1,0,84,8.240620
13400,1,0,85,9.000480
13400,1,0,86,9.730440
13400,1,0,87,10.608590
13400,1,0,88,11.437090
13400,1,0,89,12.419060
13400,1,0,90,13.284690
13400,1,0,91,14.391030
