Index,IssueAge,CTP,TBL1CTP,MTP,TBL1MTP
13400,0,,0.240000,4.360000,
13400,1,,0.150000,4.279000,
13400,2,,0.100000,4.249000,
13400,3,,0.090000,4.249000,
13400,4,,0.080000,4.270000,
13400,5,,0.090000,4.309000,
13400,6,,0.100000,4.390000,
13400,7,,0.110000,4.480000,
13400,8,,0.130000,4.590000,
13400,9,,0.150000,4.710000,
13400,10,,0.170000,4.840000,
13400,11,,0.190000,4.980000,
13400,12,,0.210000,5.110000,
13400,13,,0.240000,5.250000,
13400,14,,0.260000,5.380000,
13400,15,,0.280000,5.500000,
13400,16,,0.290000,5.509000,
13400,17,,0.300000,5.500000,
13400,18,,0.310000,5.470000,
13400,19,,0.310000,5.530000,
13400,20,,0.320000,5.680000,
13400,21,,0.320000,5.830000,
13400,22,,0.320000,6.000000,
13400,23,,0.330000,6.169000,
13400,24,,0.330000,6.360000,
13400,25,,0.330000,6.550000,
13400,26,,0.330000,6.750000,
13400,27,,0.320000,6.979000,
13400,28,,0.320000,7.219000,
13400,29,,0.320000,7.459000,
13400,30,,0.320000,7.729000,
13400,31,,0.330000,7.999000,
13400,32,,0.340000,8.279000,
13400,33,,0.350000,8.569000,
13400,34,,0.370000,8.869000,
13400,35,,0.400000,9.180000,
13400,36,,0.420000,9.539000,
13400,37,,0.460000,9.919000,
13400,38,,0.500000,10.300000,
13400,39,,0.540000,10.710000,
13400,40,,0.590000,11.170000,
13400,41,,0.650000,11.670000,
13400,42,,0.710000,12.220000,
13400,43,,0.790000,12.820000,
13400,44,,0.870000,13.500000,
13400,45,,0.960000,14.260000,
13400,46,,1.060000,15.130000,
13400,47,,1.170000,16.099000,
13400,48,,1.300000,17.149000,
13400,49,,1.450000,18.289000,
13400,50,,1.620000,19.500000,
13400,51,,1.810000,19.789000,
13400,52,,2.010000,20.140000,
13400,53,,2.250000,20.560000,
13400,54,,2.510000,21.030000,
13400,55,,2.800000,21.559000,
13400,56,,3.120000,21.990000,
13400,57,,3.470000,22.429000,
13400,58,,3.850000,22.860000,
13400,59,,4.280000,23.299000,
13400,60,,4.740000,23.730000,
13400,61,,4.980000,25.320000,
13400,62,,5.240000,27.130000,
13400,63,,5.510000,29.370000,
13400,64,,5.790000,32.250000,
13400,65,,6.090000,35.839000,
13400,66,,6.730000,38.590000,
13400,67,,7.410000,41.299000,
13400,68,,8.140000,44.149000,
13400,69,,8.940000,47.539000,
13400,70,,9.800000,51.130000,
13400,71,,10.740000,54.640000,
13400,72,,11.750000,58.770000,
13400,73,,12.880000,63.319000,
13400,74,,14.120000,68.029000,
13400,75,,15.470000,73.860000,
13400,76,,16.940000,79.309000,
13400,77,,18.520000,85.729000,
13400,78,,20.220000,92.550000,
13400,79,,22.010000,99.799000,
13400,80,,23.970000,107.569000,
13401,0,,0.240000,3.709000,
13401,1,,0.150000,3.630000,
13401,2,,0.100000,3.600000,
13401,3,,0.090000,3.600000,
13401,4,,0.080000,3.619000,
13401,5,,0.090000,3.660000,
13401,6,,0.100000,3.709000,
13401,7,,0.110000,3.780000,
13401,8,,0.130000,3.859000,
13401,9,,0.150000,3.960000,
13401,10,,0.170000,4.060000,
13401,11,,0.190000,4.170000,
13401,12,,0.210000,4.279000,
13401,13,,0.240000,4.390000,
13401,14,,0.260000,4.500000,
13401,15,,0.280000,4.590000,
13401,16,,0.290000,4.639000,
13401,17,,0.300000,4.660000,
13401,18,,0.310000,4.669000,
13401,19,,0.310000,4.669000,
13401,20,,0.320000,4.669000,
13401,21,,0.320000,4.669000,
13401,22,,0.320000,4.669000,
13401,23,,0.330000,4.669000,
13401,24,,0.330000,4.669000,
13401,25,,0.330000,4.669000,
13401,26,,0.330000,4.669000,
13401,27,,0.320000,4.710000,
13401,28,,0.320000,4.780000,
13401,29,,0.320000,4.870000,
13401,30,,0.320000,4.969000,
13401,31,,0.330000,5.080000,
13401,32,,0.340000,5.220000,
13401,33,,0.350000,5.380000,
13401,34,,0.370000,5.560000,
13401,35,,0.400000,5.749000,
13401,36,,0.420000,5.970000,
13401,37,,0.460000,6.210000,
13401,38,,0.500000,6.480000,
13401,39,,0.540000,6.760000,
13401,40,,0.590000,7.069000,
13401,41,,0.650000,7.390000,
13401,42,,0.710000,7.729000,
13401,43,,0.790000,8.119000,
13401,44,,0.870000,8.500000,
13401,45,,0.960000,9.079000,
13401,46,,1.060000,9.529000,
13401,47,,1.170000,10.039000,
13401,48,,1.300000,10.570000,
13401,49,,1.450000,11.190000,
13401,50,,1.620000,11.860000,
13401,51,,1.810000,12.630000,
13401,52,,2.010000,13.450000,
13401,53,,2.250000,14.340000,
13401,54,,2.510000,15.330000,
13401,55,,2.800000,16.470000,
13401,56,,3.120000,17.689000,
13401,57,,3.470000,18.970000,
13401,58,,3.850000,20.410000,
13401,59,,4.280000,22.069000,
13401,60,,4.740000,23.730000,
13401,61,,4.980000,25.320000,
13401,62,,5.240000,27.130000,
13401,63,,5.510000,29.370000,
13401,64,,5.790000,32.250000,
13401,65,,6.090000,35.839000,
13401,66,,6.730000,38.590000,
13401,67,,7.410000,41.299000,
13401,68,,8.140000,44.149000,
13401,69,,8.940000,47.539000,
13401,70,,9.800000,51.130000,
13401,71,,10.740000,54.640000,
13401,72,,11.750000,58.770000,
13401,73,,12.880000,63.319000,
13401,74,,14.120000,68.029000,
13401,75,,15.470000,73.860000,
13401,76,,16.940000,79.309000,
13401,77,,18.520000,85.729000,
13401,78,,20.220000,92.550000,
13401,79,,22.010000,99.799000,
13401,80,,23.970000,107.569000,
13402,0,,0.250000,2.869000,
13402,1,,0.160000,2.790000,
13402,2,,0.100000,2.760000,
13402,3,,0.090000,2.760000,
13402,4,,0.080000,2.779000,
13402,5,,0.090000,2.820000,
13402,6,,0.100000,2.869000,
13402,7,,0.110000,2.940000,
13402,8,,0.130000,3.030000,
13402,9,,0.150000,3.120000,
13402,10,,0.170000,3.229000,
13402,11,,0.200000,3.340000,
13402,12,,0.220000,3.450000,
13402,13,,0.240000,3.559000,
13402,14,,0.260000,3.670000,
13402,15,,0.280000,3.750000,
13402,16,,0.290000,3.810000,
13402,17,,0.300000,3.840000,
13402,18,,0.300000,3.850000,
13402,19,,0.310000,3.859000,
13402,20,,0.310000,3.859000,
13402,21,,0.310000,3.859000,
13402,22,,0.310000,3.859000,
13402,23,,0.320000,3.859000,
13402,24,,0.320000,3.859000,
13402,25,,0.310000,3.870000,
13402,26,,0.300000,3.900000,
13402,27,,0.300000,3.949000,
13402,28,,0.290000,4.009000,
13402,29,,0.290000,4.080000,
13402,30,,0.290000,4.180000,
13402,31,,0.300000,4.290000,
13402,32,,0.310000,4.410000,
13402,33,,0.320000,4.540000,
13402,34,,0.340000,4.699000,
13402,35,,0.360000,4.860000,
13402,36,,0.390000,5.040000,
13402,37,,0.420000,5.239000,
13402,38,,0.450000,5.449000,
13402,39,,0.490000,5.680000,
13402,40,,0.540000,5.940000,
13402,41,,0.590000,6.199000,
13402,42,,0.650000,6.490000,
13402,43,,0.710000,6.810000,
13402,44,,0.790000,7.170000,
13402,45,,0.870000,7.690000,
13402,46,,0.950000,8.119000,
13402,47,,1.050000,8.580000,
13402,48,,1.170000,9.090000,
13402,49,,1.290000,9.630000,
13402,50,,1.430000,10.249000,
13402,51,,1.590000,10.950000,
13402,52,,1.770000,11.680000,
13402,53,,1.970000,12.499000,
13402,54,,2.200000,13.399000,
13402,55,,2.440000,14.419000,
13402,56,,2.720000,15.450000,
13402,57,,3.020000,16.600000,
13402,58,,3.350000,17.929000,
13402,59,,3.720000,19.360000,
13402,60,,4.120000,20.860000,
13402,61,,4.330000,22.320000,
13402,62,,4.560000,24.049000,
13402,63,,4.790000,26.100000,
13402,64,,5.040000,28.789000,
13402,65,,5.290000,32.179000,
13402,66,,5.850000,34.570000,
13402,67,,6.460000,36.919000,
13402,68,,7.110000,39.559000,
13402,69,,7.840000,42.529000,
13402,70,,8.630000,45.660000,
13402,71,,9.510000,49.180000,
13402,72,,10.460000,53.100000,
13402,73,,11.520000,57.460000,
13402,74,,12.690000,62.010000,
13402,75,,13.980000,67.380000,
13402,76,,15.390000,73.050000,
13402,77,,16.910000,79.030000,
13402,78,,18.560000,85.369000,
13402,79,,20.310000,92.119000,
13402,80,,22.240000,99.820000,
13403,0,,,4.360000,
13403,1,,,4.279000,
13403,2,,,4.249000,
13403,3,,,4.249000,
13403,4,,,4.270000,
13403,5,,,4.309000,
13403,6,,,4.390000,
13403,7,,,4.480000,
13403,8,,,4.590000,
13403,9,,,4.710000,
13403,10,,,4.840000,
13403,11,,,4.980000,
13403,12,,,5.110000,
13403,13,,,5.250000,
13403,14,,,5.380000,
13403,15,,,5.500000,
13403,16,,,5.509000,
13403,17,,,5.500000,
13403,18,,,5.470000,
13403,19,,,5.530000,
13403,20,,,5.680000,
13403,21,,,5.830000,
13403,22,,,6.000000,
13403,23,,,6.169000,
13403,24,,,6.360000,
13403,25,,,6.550000,
13403,26,,,6.750000,
13403,27,,,6.979000,
13403,28,,,7.219000,
13403,29,,,7.459000,
13403,30,,,7.729000,
13403,31,,,7.999000,
13403,32,,,8.279000,
13403,33,,,8.569000,
13403,34,,,8.869000,
13403,35,,,9.180000,
13403,36,,,9.539000,
13403,37,,,9.919000,
13403,38,,,10.300000,
13403,39,,,10.710000,
13403,40,,,11.170000,
13403,41,,,11.670000,
13403,42,,,12.220000,
13403,43,,,12.820000,
13403,44,,,13.500000,
13403,45,,,14.260000,
13403,46,,,15.130000,
13403,47,,,16.099000,
13403,48,,,17.149000,
13403,49,,,18.289000,
13403,50,,,19.500000,
13403,51,,,19.789000,
13403,52,,,20.140000,
13403,53,,,20.560000,
13403,54,,,21.030000,
13403,55,,,21.559000,
13403,56,,,21.990000,
13403,57,,,22.429000,
13403,58,,,22.860000,
13403,59,,,23.299000,
13403,60,,,23.730000,
13403,61,,,25.320000,
13403,62,,,27.130000,
13403,63,,,29.370000,
13403,64,,,32.250000,
13403,65,,,35.839000,
13403,66,,,38.590000,
13403,67,,,41.299000,
13403,68,,,44.149000,
13403,69,,,47.539000,
13403,70,,,51.130000,
13403,71,,,54.640000,
13403,72,,,58.770000,
13403,73,,,63.319000,
13403,74,,,68.029000,
13403,75,,,73.860000,
13403,76,,,79.309000,
13403,77,,,85.729000,
13403,78,,,92.550000,
13403,79,,,99.799000,
13403,80,,,107.569000,
13404,0,,,3.709000,
13404,1,,,3.630000,
13404,2,,,3.600000,
13404,3,,,3.600000,
13404,4,,,3.619000,
13404,5,,,3.660000,
13404,6,,,3.709000,
13404,7,,,3.780000,
13404,8,,,3.859000,
13404,9,,,3.960000,
13404,10,,,4.060000,
13404,11,,,4.170000,
13404,12,,,4.279000,
13404,13,,,4.390000,
13404,14,,,4.500000,
13404,15,,,4.590000,
13404,16,,,4.639000,
13404,17,,,4.660000,
13404,18,,,4.669000,
13404,19,,,4.669000,
13404,20,,,4.669000,
13404,21,,,4.669000,
13404,22,,,4.669000,
13404,23,,,4.669000,
13404,24,,,4.669000,
13404,25,,,4.669000,
13404,26,,,4.669000,
13404,27,,,4.710000,
13404,28,,,4.780000,
13404,29,,,4.870000,
13404,30,,,4.969000,
13404,31,,,5.080000,
13404,32,,,5.220000,
13404,33,,,5.380000,
13404,34,,,5.560000,
13404,35,,,5.749000,
13404,36,,,5.970000,
13404,37,,,6.210000,
13404,38,,,6.480000,
13404,39,,,6.760000,
13404,40,,,7.069000,
13404,41,,,7.390000,
13404,42,,,7.729000,
13404,43,,,8.119000,
13404,44,,,8.500000,
13404,45,,,9.079000,
13404,46,,,9.529000,
13404,47,,,10.039000,
13404,48,,,10.570000,
13404,49,,,11.190000,
13404,50,,,11.860000,
13404,51,,,12.630000,
13404,52,,,13.450000,
13404,53,,,14.340000,
13404,54,,,15.330000,
13404,55,,,16.470000,
13404,56,,,17.689000,
13404,57,,,18.970000,
13404,58,,,20.410000,
13404,59,,,22.069000,
13404,60,,,23.730000,
