Plancode,IssueVersion,Sex,Rateclass,Band,State,Index(PREMLOAD),Index(TRGPREM),Index(MFEE),Index(SCR),Index(COI),Index(EPU),Index(GLP),MORTID,Index(SHDINT),Index(TRAD_CV)
1U1F4M00,1,M,E,1,AA,,,,,13400,,,,,
1U1F4M00,1,M,E,2,AA,,13400,,13403,13400,,,,,
1U1F4M00,1,M,E,2,MD,,13400,,13401,13400,,,,,
1U1F4M00,1,M,E,2,NJ,,13400,,13402,13400,,,,,
1U1F4M00,1,M,E,3,AA,,13401,,13407,13400,,,,,
1U1F4M00,1,M,E,3,MD,,13401,,13405,13400,,,,,
1U1F4M00,1,M,E,3,NJ,,13401,,13406,13400,,,,,
1U1F4M00,1,M,E,4,AA,,13402,,13411,13400,,,,,
1U1F4M00,1,M,E,4,MD,,13402,,13409,13400,,,,,
1U1F4M00,1,M,E,4,NJ,,13402,,13410,13400,,,,,
1U1F4M00,1,M,F,1,AA,,,,,13401,,,,,
1U1F4M00,1,M,F,2,AA,,13403,,13415,13401,,,,,
1U1F4M00,1,M,F,2,MD,,13403,,13413,13401,,,,,
1U1F4M00,1,M,F,2,NJ,,13403,,13414,13401,,,,,
1U1F4M00,1,M,F,3,AA,,13404,,13419,13401,,,,,
1U1F4M00,1,M,F,3,MD,,13404,,13417,13401,,,,,
1U1F4M00,1,M,F,3,NJ,,13404,,13418,13401,,,,,
1U1F4M00,1,M,F,4,AA,,13405,,13423,13401,,,,,
1U1F4M00,1,M,F,4,MD,,13405,,13421,13401,,,,,
1U1F4M00,1,M,F,4,NJ,,13405,,13422,13401,,,,,
1U1F4M00,1,M,G,1,AA,,13406,,13427,13402,,,,,
1U1F4M00,1,M,G,1,MD,,13406,,13425,13402,,,,,
1U1F4M00,1,M,G,1,NJ,,13406,,13426,13402,,,,,
1U1F4M00,1,M,G,2,AA,,13407,,13431,13402,,,,,
1U1F4M00,1,M,G,2,MD,,13407,,13429,13402,,,,,
1U1F4M00,1,M,G,2,NJ,,13407,,13430,13402,,,,,
1U1F4M00,1,M,G,3,AA,,13408,,13435,13402,,,,,
1U1F4M00,1,M,G,3,MD,,13408,,13433,13402,,,,,
1U1F4M00,1,M,G,3,NJ,,13408,,13434,13402,,,,,
1U1F4M00,1,M,G,4,AA,,13409,,13439,13402,,,,,
1U1F4M00,1,M,G,4,MD,,13409,,13437,13402,,,,,
1U1F4M00,1,M,G,4,NJ,,13409,,13438,13402,,,,,
1U1F4M00,1,M,H,1,AA,,13410,,13443,13403,,,,,
1U1F4M00,1,M,H,1,MD,,13410,,13441,13403,,,,,
1U1F4M00,1,M,H,1,NJ,,13410,,13442,13403,,,,,
1U1F4M00,1,M,H,2,AA,,13411,,13447,13403,,,,,
1U1F4M00,1,M,H,2,MD,,13411,,13445,13403,,,,,
1U1F4M00,1,M,H,2,NJ,,13411,,13446,13403,,,,,
1U1F4M00,1,M,H,3,AA,,13412,,13451,13403,,,,,
1U1F4M00,1,M,H,3,MD,,13412,,13449,13403,,,,,
1U1F4M00,1,M,H,3,NJ,,13412,,13450,13403,,,,,
1U1F4M00,1,M,H,4,AA,,13413,,13455,13403,,,,,
1U1F4M00,1,M,H,4,MD,,13413,,13453,13403,,,,,
1U1F4M00,1,M,H,4,NJ,,13413,,13454,13403,,,,,
1U1F4M00,1,M,I,1,AA,,13414,,13459,13404,,,,,
1U1F4M00,1,M,I,1,MD,,13414,,13457,13404,,,,,
1U1F4M00,1,M,I,1,NJ,,13414,,13458,13404,,,,,
1U1F4M00,1,M,I,2,AA,,13415,,13463,13404,,,,,
1U1F4M00,1,M,I,2,MD,,13415,,13461,13404,,,,,
