Index,IssueAge,MTP,CTP
13400,16,1.060000,1.060000
13400,17,1.060000,1.060000
13400,18,1.060000,1.060000
13400,19,1.060000,1.060000
13400,20,1.060000,1.060000
13400,21,1.036000,1.036000
13400,22,1.014000,1.014000
13400,23,0.993000,0.993000
13400,24,0.980000,0.980000
13400,25,0.970000,0.970000
13400,26,0.964000,0.964000
13400,27,0.958000,0.958000
13400,28,0.952000,0.952000
13400,29,0.946000,0.946000
13400,30,0.940000,0.940000
13400,31,0.935000,0.935000
13400,32,0.930000,0.930000
13400,33,0.924000,0.924000
13400,34,0.918000,0.918000
13400,35,0.910000,0.910000
13400,36,0.906000,0.906000
13400,37,0.902000,0.902000
13400,38,0.898000,0.898000
13400,39,0.895000,0.895000
13400,40,0.890000,0.890000
13400,41,0.888000,0.888000
13400,42,0.886000,0.886000
13400,43,0.884000,0.884000
13400,44,0.882000,0.882000
13400,45,0.880000,0.880000
13400,46,0.885000,0.885000
13400,47,0.891000,0.891000
13400,48,0.897000,0.897000
13400,49,0.903000,0.903000
13400,50,0.910000,0.910000
13400,51,0.916000,0.916000
13400,52,0.923000,0.923000
13400,53,0.931000,0.931000
13400,54,0.940000,0.940000
13400,55,0.950000,0.950000
13401,16,0.580000,0.580000
13401,17,0.580000,0.580000
13401,18,0.580000,0.580000
13401,19,0.580000,0.580000
13401,20,0.580000,0.580000
13401,21,0.582000,0.582000
13401,22,0.585000,0.585000
13401,23,0.587000,0.587000
13401,24,0.589000,0.589000
13401,25,0.590000,0.590000
13401,26,0.594000,0.594000
13401,27,0.598000,0.598000
13401,28,0.602000,0.602000
13401,29,0.606000,0.606000
13401,30,0.610000,0.610000
13401,31,0.610000,0.610000
13401,32,0.610000,0.610000
13401,33,0.610000,0.610000
13401,34,0.610000,0.610000
13401,35,0.610000,0.610000
13401,36,0.611000,0.611000
13401,37,0.613000,0.613000
13401,38,0.615000,0.615000
13401,39,0.617000,0.617000
13401,40,0.620000,0.620000
13401,41,0.622000,0.622000
13401,42,0.624000,0.624000
13401,43,0.626000,0.626000
13401,44,0.628000,0.628000
13401,45,0.630000,0.630000
13401,46,0.634000,0.634000
13401,47,0.637000,0.637000
13401,48,0.641000,0.641000
13401,49,0.645000,0.645000
13401,50,0.650000,0.650000
13401,51,0.655000,0.655000
13401,52,0.660000,0.660000
13401,53,0.666000,0.666000
13401,54,0.672000,0.672000
13401,55,0.680000,0.680000
13402,16,0.629000,0.629000
13402,17,0.630000,0.630000
13402,18,0.631000,0.631000
13402,19,0.632000,0.632000
13402,20,0.633000,0.633000
13402,21,0.633000,0.633000
13402,22,0.637000,0.637000
13402,23,0.637000,0.637000
13402,24,0.637000,0.637000
13402,25,0.637000,0.637000
13402,26,0.637000,0.637000
13402,27,0.637000,0.637000
13402,28,0.637000,0.637000
13402,29,0.637000,0.637000
13402,30,0.680000,0.680000
13402,31,0.680000,0.680000
13402,32,0.680000,0.680000
13402,33,0.680000,0.680000
13402,34,0.680000,0.680000
13402,35,0.680000,0.680000
13402,36,0.680000,0.680000
13402,37,0.680000,0.680000
13402,38,0.680000,0.680000
13402,39,0.680000,0.680000
13402,40,0.731000,0.731000
13402,41,0.762000,0.762000
13402,42,0.824000,0.824000
13402,43,0.883000,0.883000
13402,44,0.944000,0.944000
13402,45,1.012000,1.012000
13402,46,1.097000,1.097000
13402,47,1.208000,1.208000
13402,48,1.390000,1.390000
13402,49,1.627000,1.627000
13402,50,1.896000,1.896000
13402,51,2.232000,2.232000
13402,52,2.597000,2.597000
13402,53,3.048000,3.048000
13402,54,3.547000,3.547000
13402,55,4.076000,4.076000
13402,56,4.785000,4.785000
13402,57,5.314000,5.314000
13402,58,6.013000,6.013000
13402,59,6.743000,6.743000
13403,16,0.537000,0.537000
13403,17,0.539000,0.539000
13403,18,0.540000,0.540000
13403,19,0.541000,0.541000
13403,20,0.542000,0.542000
13403,21,0.542000,0.542000
13403,22,0.542000,0.542000
13403,23,0.542000,0.542000
13403,24,0.542000,0.542000
13403,25,0.543000,0.543000
13403,26,0.543000,0.543000
13403,27,0.543000,0.543000
13403,28,0.543000,0.543000
13403,29,0.543000,0.543000
13403,30,0.571000,0.571000
13403,31,0.571000,0.571000
13403,32,0.571000,0.571000
13403,33,0.571000,0.571000
13403,34,0.571000,0.571000
13403,35,0.571000,0.571000
13403,36,0.571000,0.571000
13403,37,0.571000,0.571000
13403,38,0.578000,0.578000
13403,39,0.637000,0.637000
13403,40,0.702000,0.702000
13403,41,0.762000,0.762000
13403,42,0.823000,0.823000
13403,43,0.884000,0.884000
13403,44,0.946000,0.946000
13403,45,1.012000,1.012000
13403,46,1.096000,1.096000
13403,47,1.206000,1.206000
13403,48,1.391000,1.391000
13403,49,1.625000,1.625000
13403,50,1.896000,1.896000
13403,51,2.233000,2.233000
13403,52,2.597000,2.597000
13403,53,3.048000,3.048000
13403,54,3.544000,3.544000
13403,55,4.077000,4.077000
13403,56,4.785000,4.785000
13403,57,5.314000,5.314000
13403,58,5.937000,5.937000
13403,59,6.741000,6.741000
13404,16,0.272000,0.272000
13404,17,0.273000,0.273000
