Index,Scale,IssueAge,Duration,Rate
13400,1,0,17,0.040000
13400,1,0,18,0.050000
13400,1,0,19,0.050000
13400,1,0,20,0.060000
13400,1,0,21,0.060000
13400,1,0,22,0.060000
13400,1,0,23,0.060000
13400,1,0,24,0.060000
13400,1,0,25,0.060000
13400,1,0,26,0.060000
13400,1,0,27,0.060000
13400,1,0,28,0.060000
13400,1,0,29,0.060000
13400,1,0,30,0.060000
13400,1,0,31,0.060000
13400,1,0,32,0.060000
13400,1,0,33,0.060000
13400,1,0,34,0.060000
13400,1,0,35,0.060000
13400,1,0,36,0.060000
13400,1,0,37,0.070000
13400,1,0,38,0.070000
13400,1,0,39,0.080000
13400,1,0,40,0.080000
13400,1,0,41,0.090000
13400,1,0,42,0.090000
13400,1,0,43,0.100000
13400,1,0,44,0.110000
13400,1,0,45,0.130000
13400,1,0,46,0.140000
13400,1,0,47,0.150000
13400,1,0,48,0.170000
13400,1,0,49,0.170000
13400,1,0,50,0.180000
13400,1,0,51,0.200000
13400,1,0,52,0.210000
13400,1,0,53,0.240000
13400,1,0,54,0.260000
13400,1,0,55,0.290000
13400,1,0,56,0.330000
13400,1,0,57,0.370000
13400,1,0,58,0.410000
13400,1,0,59,0.440000
13400,1,0,60,0.480000
13400,1,0,61,0.530000
13400,1,0,62,0.590000
13400,1,0,63,0.670000
13400,1,0,64,0.750000
13400,1,0,65,0.840000
13400,1,0,66,0.930000
13400,1,0,67,1.020000
13400,1,0,68,1.120000
13400,1,0,69,1.220000
13400,1,0,70,1.320000
13400,1,0,71,1.450000
13400,1,0,72,1.600000
13400,1,0,73,1.790000
13400,1,0,74,1.990000
13400,1,0,75,2.200000
13400,1,0,76,2.430000
13400,1,0,77,2.680000
13400,1,0,78,2.980000
13400,1,0,79,3.330000
13400,1,0,80,3.730000
13400,1,0,81,4.180000
13400,1,0,82,4.680000
13400,1,0,83,5.220000
13400,1,0,84,5.800000
13400,1,0,85,6.450000
13400,1,0,86,7.180000
13400,1,0,87,8.000000
13400,1,0,88,8.910000
13400,1,0,89,9.900000
13400,1,0,90,10.960000
13400,1,0,91,12.090000
13400,1,0,92,13.170000
13400,1,0,93,14.310000
13400,1,0,94,15.540000
13400,1,0,95,16.860000
13400,1,0,96,18.280000
13400,1,0,97,19.610000
13400,1,0,98,21.060000
13400,1,0,99,22.650000
13400,1,0,100,24.380000
13400,1,1,16,0.040000
13400,1,1,17,0.050000
13400,1,1,18,0.050000
13400,1,1,19,0.060000
13400,1,1,20,0.060000
13400,1,1,21,0.060000
13400,1,1,22,0.060000
13400,1,1,23,0.060000
13400,1,1,24,0.060000
13400,1,1,25,0.060000
13400,1,1,26,0.060000
13400,1,1,27,0.060000
13400,1,1,28,0.060000
13400,1,1,29,0.060000
13400,1,1,30,0.060000
13400,1,1,31,0.060000
13400,1,1,32,0.060000
13400,1,1,33,0.060000
13400,1,1,34,0.060000
13400,1,1,35,0.060000
13400,1,1,36,0.070000
13400,1,1,37,0.070000
13400,1,1,38,0.080000
13400,1,1,39,0.080000
13400,1,1,40,0.090000
13400,1,1,41,0.090000
13400,1,1,42,0.100000
13400,1,1,43,0.110000
13400,1,1,44,0.130000
13400,1,1,45,0.140000
13400,1,1,46,0.150000
13400,1,1,47,0.170000
13400,1,1,48,0.170000
13400,1,1,49,0.180000
13400,1,1,50,0.200000
13400,1,1,51,0.210000
13400,1,1,52,0.240000
13400,1,1,53,0.260000
13400,1,1,54,0.290000
13400,1,1,55,0.330000
13400,1,1,56,0.370000
13400,1,1,57,0.410000
13400,1,1,58,0.440000
13400,1,1,59,0.480000
13400,1,1,60,0.530000
13400,1,1,61,0.590000
13400,1,1,62,0.670000
13400,1,1,63,0.750000
13400,1,1,64,0.840000
13400,1,1,65,0.930000
13400,1,1,66,1.020000
13400,1,1,67,1.120000
13400,1,1,68,1.220000
13400,1,1,69,1.320000
13400,1,1,70,1.450000
13400,1,1,71,1.600000
13400,1,1,72,1.790000
13400,1,1,73,1.990000
13400,1,1,74,2.200000
13400,1,1,75,2.430000
13400,1,1,76,2.680000
13400,1,1,77,2.980000
13400,1,1,78,3.330000
13400,1,1,79,3.730000
13400,1,1,80,4.180000
13400,1,1,81,4.680000
13400,1,1,82,5.220000
13400,1,1,83,5.800000
13400,1,1,84,6.450000
13400,1,1,85,7.180000
13400,1,1,86,8.000000
13400,1,1,87,8.910000
13400,1,1,88,9.900000
13400,1,1,89,10.960000
13400,1,1,90,12.090000
13400,1,1,91,13.170000
13400,1,1,92,14.310000
13400,1,1,93,15.540000
13400,1,1,94,16.860000
13400,1,1,95,18.280000
13400,1,1,96,19.610000
13400,1,1,97,21.060000
13400,1,1,98,22.650000
13400,1,1,99,24.380000
13400,1,2,15,0.040000
13400,1,2,16,0.050000
13400,1,2,17,0.050000
13400,1,2,18,0.060000
13400,1,2,19,0.060000
13400,1,2,20,0.060000
13400,1,2,21,0.060000
13400,1,2,22,0.060000
13400,1,2,23,0.060000
13400,1,2,24,0.060000
13400,1,2,25,0.060000
13400,1,2,26,0.060000
13400,1,2,27,0.060000
13400,1,2,28,0.060000
13400,1,2,29,0.060000
13400,1,2,30,0.060000
13400,1,2,31,0.060000
13400,1,2,32,0.060000
13400,1,2,33,0.060000
13400,1,2,34,0.060000
13400,1,2,35,0.070000
13400,1,2,36,0.070000
13400,1,2,37,0.080000
13400,1,2,38,0.080000
13400,1,2,39,0.090000
13400,1,2,40,0.090000
13400,1,2,41,0.100000
13400,1,2,42,0.110000
13400,1,2,43,0.130000
13400,1,2,44,0.140000
13400,1,2,45,0.150000
13400,1,2,46,0.170000
13400,1,2,47,0.170000
13400,1,2,48,0.180000
13400,1,2,49,0.200000
13400,1,2,50,0.210000
13400,1,2,51,0.240000
13400,1,2,52,0.260000
13400,1,2,53,0.290000
13400,1,2,54,0.330000
13400,1,2,55,0.370000
13400,1,2,56,0.410000
13400,1,2,57,0.440000
13400,1,2,58,0.480000
13400,1,2,59,0.530000
13400,1,2,60,0.590000
13400,1,2,61,0.670000
13400,1,2,62,0.750000
13400,1,2,63,0.840000
13400,1,2,64,0.930000
13400,1,2,65,1.020000
13400,1,2,66,1.120000
13400,1,2,67,1.220000
13400,1,2,68,1.320000
13400,1,2,69,1.450000
13400,1,2,70,1.600000
13400,1,2,71,1.790000
13400,1,2,72,1.990000
13400,1,2,73,2.200000
13400,1,2,74,2.430000
13400,1,2,75,2.680000
13400,1,2,76,2.980000
13400,1,2,77,3.330000
13400,1,2,78,3.730000
13400,1,2,79,4.180000
13400,1,2,80,4.680000
13400,1,2,81,5.220000
13400,1,2,82,5.800000
13400,1,2,83,6.450000
13400,1,2,84,7.180000
13400,1,2,85,8.000000
13400,1,2,86,8.910000
13400,1,2,87,9.900000
13400,1,2,88,10.960000
13400,1,2,89,12.090000
13400,1,2,90,13.170000
13400,1,2,91,14.310000
13400,1,2,92,15.540000
13400,1,2,93,16.860000
13400,1,2,94,18.280000
13400,1,2,95,19.610000
13400,1,2,96,21.060000
13400,1,2,97,22.650000
13400,1,2,98,24.380000
13400,1,3,14,0.040000
13400,1,3,15,0.050000
13400,1,3,16,0.050000
13400,1,3,17,0.060000
13400,1,3,18,0.060000
13400,1,3,19,0.060000
13400,1,3,20,0.060000
13400,1,3,21,0.060000
13400,1,3,22,0.060000
13400,1,3,23,0.060000
13400,1,3,24,0.060000
13400,1,3,25,0.060000
13400,1,3,26,0.060000
13400,1,3,27,0.060000
13400,1,3,28,0.060000
13400,1,3,29,0.060000
13400,1,3,30,0.060000
13400,1,3,31,0.060000
13400,1,3,32,0.060000
13400,1,3,33,0.060000
13400,1,3,34,0.070000
13400,1,3,35,0.070000
13400,1,3,36,0.080000
13400,1,3,37,0.080000
13400,1,3,38,0.090000
13400,1,3,39,0.090000
13400,1,3,40,0.100000
13400,1,3,41,0.110000
13400,1,3,42,0.130000
13400,1,3,43,0.140000
13400,1,3,44,0.150000
13400,1,3,45,0.170000
13400,1,3,46,0.170000
13400,1,3,47,0.180000
13400,1,3,48,0.200000
13400,1,3,49,0.210000
13400,1,3,50,0.240000
13400,1,3,51,0.260000
13400,1,3,52,0.290000
13400,1,3,53,0.330000
13400,1,3,54,0.370000
13400,1,3,55,0.410000
13400,1,3,56,0.440000
13400,1,3,57,0.480000
13400,1,3,58,0.530000
13400,1,3,59,0.590000
13400,1,3,60,0.670000
13400,1,3,61,0.750000
13400,1,3,62,0.840000
13400,1,3,63,0.930000
13400,1,3,64,1.020000
13400,1,3,65,1.120000
13400,1,3,66,1.220000
13400,1,3,67,1.320000
13400,1,3,68,1.450000
13400,1,3,69,1.600000
13400,1,3,70,1.790000
13400,1,3,71,1.990000
13400,1,3,72,2.200000
13400,1,3,73,2.430000
13400,1,3,74,2.680000
13400,1,3,75,2.980000
13400,1,3,76,3.330000
13400,1,3,77,3.730000
13400,1,3,78,4.180000
13400,1,3,79,4.680000
13400,1,3,80,5.220000
13400,1,3,81,5.800000
13400,1,3,82,6.450000
13400,1,3,83,7.180000
13400,1,3,84,8.000000
13400,1,3,85,8.910000
13400,1,3,86,9.900000
13400,1,3,87,10.960000
13400,1,3,88,12.090000
13400,1,3,89,13.170000
13400,1,3,90,14.310000
13400,1,3,91,15.540000
13400,1,3,92,16.860000
13400,1,3,93,18.280000
13400,1,3,94,19.610000
13400,1,3,95,21.060000
13400,1,3,96,22.650000
13400,1,3,97,24.380000
13400,1,4,13,0.040000
13400,1,4,14,0.050000
13400,1,4,15,0.050000
13400,1,4,16,0.060000
13400,1,4,17,0.060000
13400,1,4,18,0.060000
13400,1,4,19,0.060000
13400,1,4,20,0.060000
13400,1,4,21,0.060000
13400,1,4,22,0.060000
13400,1,4,23,0.060000
13400,1,4,24,0.060000
13400,1,4,25,0.060000
13400,1,4,26,0.060000
13400,1,4,27,0.060000
13400,1,4,28,0.060000
13400,1,4,29,0.060000
13400,1,4,30,0.060000
13400,1,4,31,0.060000
13400,1,4,32,0.060000
13400,1,4,33,0.070000
13400,1,4,34,0.070000
13400,1,4,35,0.080000
13400,1,4,36,0.080000
13400,1,4,37,0.090000
13400,1,4,38,0.090000
13400,1,4,39,0.100000
13400,1,4,40,0.110000
13400,1,4,41,0.130000
13400,1,4,42,0.140000
13400,1,4,43,0.150000
13400,1,4,44,0.170000
13400,1,4,45,0.170000
13400,1,4,46,0.180000
13400,1,4,47,0.200000
13400,1,4,48,0.210000
13400,1,4,49,0.240000
13400,1,4,50,0.260000
13400,1,4,51,0.290000
13400,1,4,52,0.330000
13400,1,4,53,0.370000
13400,1,4,54,0.410000
13400,1,4,55,0.440000
13400,1,4,56,0.480000
13400,1,4,57,0.530000
13400,1,4,58,0.590000
13400,1,4,59,0.670000
13400,1,4,60,0.750000
13400,1,4,61,0.840000
13400,1,4,62,0.930000
13400,1,4,63,1.020000
13400,1,4,64,1.120000
13400,1,4,65,1.220000
13400,1,4,66,1.320000
13400,1,4,67,1.450000
13400,1,4,68,1.600000
13400,1,4,69,1.790000
13400,1,4,70,1.990000
13400,1,4,71,2.200000
13400,1,4,72,2.430000
13400,1,4,73,2.680000
13400,1,4,74,2.980000
13400,1,4,75,3.330000
13400,1,4,76,3.730000
13400,1,4,77,4.180000
13400,1,4,78,4.680000
13400,1,4,79,5.220000
13400,1,4,80,5.800000
13400,1,4,81,6.450000
13400,1,4,82,7.180000
13400,1,4,83,8.000000
13400,1,4,84,8.910000
13400,1,4,85,9.900000
13400,1,4,86,10.960000
13400,1,4,87,12.090000
13400,1,4,88,13.170000
13400,1,4,89,14.310000
13400,1,4,90,15.540000
13400,1,4,91,16.860000
13400,1,4,92,18.280000
13400,1,4,93,19.610000
13400,1,4,94,21.060000
13400,1,4,95,22.650000
13400,1,4,96,24.380000
