Index,IssueAge,CTP,TBL1CTP,MTP,TBL1MTP
13400,20,,,3.930000,
13400,21,,,4.090000,
13400,22,,,4.250000,
13400,23,,,4.430000,
13400,24,,,4.610000,
13400,25,,,4.800000,
13400,26,,,5.000000,
13400,27,,,5.220000,
13400,28,,,5.440000,
13400,29,,,5.680000,
13400,30,,,5.930000,
13400,31,,,6.200000,
13400,32,,,6.480000,
13400,33,,,6.780000,
13400,34,,,7.090000,
13400,35,,,7.430000,
13400,36,,,7.780000,
13400,37,,,8.160000,
13400,38,,,8.550000,
13400,39,,,8.970000,
13400,40,,,9.410000,
13400,41,,,9.870000,
13400,42,,,10.370000,
13400,43,,,10.880000,
13400,44,,,11.430000,
13400,45,,,12.010000,
13400,46,,,12.620000,
13400,47,,,13.260000,
13400,48,,,13.940000,
13400,49,,,14.660000,
13400,50,,,15.430000,
13400,51,,,16.250000,
13400,52,,,17.120000,
13400,53,,,18.050000,
13400,54,,,19.030000,
13400,55,,,20.070000,
13400,56,,,21.170000,
13400,57,,,22.340000,
13400,58,,,23.570000,
13400,59,,,24.890000,
13400,60,,,26.300000,
13400,61,,,27.800000,
13400,62,,,29.400000,
13400,63,,,31.090000,
13400,64,,,32.890000,
13400,65,,,34.800000,
13400,66,,,36.830000,
13400,67,,,39.000000,
13400,68,,,41.330000,
13400,69,,,43.840000,
13400,70,,,46.560000,
13400,71,,,49.480000,
13400,72,,,52.640000,
13400,73,,,56.020000,
13400,74,,,59.660000,
13400,75,,,63.590000,
13400,76,,,67.830000,
13400,77,,,72.440000,
13400,78,,,77.430000,
13400,79,,,82.810000,
13400,80,,,88.610000,
13400,81,,,94.850000,
13400,82,,,101.540000,
13400,83,,,108.770000,
13400,84,,,116.600000,
13400,85,,,125.090000,
13401,20,,,3.810000,
13401,21,,,3.960000,
13401,22,,,4.130000,
13401,23,,,4.300000,
13401,24,,,4.490000,
13401,25,,,4.680000,
13401,26,,,4.880000,
13401,27,,,5.090000,
13401,28,,,5.320000,
13401,29,,,5.560000,
13401,30,,,5.810000,
13401,31,,,6.070000,
13401,32,,,6.360000,
13401,33,,,6.650000,
13401,34,,,6.970000,
13401,35,,,7.310000,
13401,36,,,7.660000,
13401,37,,,8.030000,
13401,38,,,8.430000,
13401,39,,,8.840000,
13401,40,,,9.290000,
13401,41,,,9.750000,
13401,42,,,10.240000,
13401,43,,,10.760000,
13401,44,,,11.310000,
13401,45,,,11.890000,
13401,46,,,12.490000,
13401,47,,,13.140000,
13401,48,,,13.820000,
13401,49,,,14.540000,
