Index,IssueAge,CTP,TBL1CTP,MTP,TBL1MTP
13401,20,,,4.230000,
13401,21,,,4.390000,
13401,22,,,4.560000,
13401,23,,,4.740000,
13401,24,,,4.940000,
13401,25,,,5.140000,
13401,26,,,5.350000,
13401,27,,,5.570000,
13401,28,,,5.800000,
13401,29,,,6.050000,
13401,30,,,6.310000,
13401,31,,,6.580000,
13401,32,,,6.870000,
13401,33,,,7.180000,
13401,34,,,7.510000,
13401,35,,,7.850000,
13401,36,,,8.210000,
13401,37,,,8.590000,
13401,38,,,9.000000,
13401,39,,,9.420000,
13401,40,,,9.870000,
13401,41,,,10.350000,
13401,42,,,10.850000,
13401,43,,,11.370000,
13401,44,,,11.930000,
13401,45,,,12.510000,
13401,46,,,13.130000,
13401,47,,,13.780000,
13401,48,,,14.470000,
13401,49,,,15.200000,
13401,50,,,15.980000,
13401,51,,,16.810000,
13401,52,,,17.680000,
13401,53,,,18.620000,
13401,54,,,19.610000,
13401,55,,,20.650000,
13401,56,,,21.760000,
13401,57,,,22.930000,
13401,58,,,24.170000,
13401,59,,,25.500000,
13401,60,,,26.910000,
13401,61,,,28.420000,
13401,62,,,30.020000,
13401,63,,,31.720000,
13401,64,,,33.520000,
13401,65,,,35.430000,
13401,66,,,37.470000,
13401,67,,,39.650000,
13401,68,,,41.980000,
13401,69,,,44.490000,
13401,70,,,47.210000,
13401,71,,,50.140000,
13401,72,,,53.300000,
13401,73,,,56.680000,
13401,74,,,60.320000,
13401,75,,,64.240000,
13401,76,,,68.490000,
13401,77,,,73.090000,
13401,78,,,78.080000,
13401,79,,,83.460000,
13401,80,,,89.250000,
13401,81,,,95.490000,
13401,82,,,102.190000,
13401,83,,,109.420000,
13401,84,,,117.250000,
13401,85,,,125.740000,
13402,20,,,4.100000,
13402,21,,,4.270000,
13402,22,,,4.440000,
13402,23,,,4.620000,
13402,24,,,4.810000,
13402,25,,,5.010000,
13402,26,,,5.220000,
13402,27,,,5.450000,
13402,28,,,5.680000,
13402,29,,,5.920000,
13402,30,,,6.180000,
13402,31,,,6.460000,
13402,32,,,6.750000,
13402,33,,,7.060000,
13402,34,,,7.380000,
13402,35,,,7.720000,
13402,36,,,8.090000,
13402,37,,,8.470000,
13402,38,,,8.870000,
13402,39,,,9.300000,
13402,40,,,9.750000,
13402,41,,,10.220000,
13402,42,,,10.720000,
13402,43,,,11.250000,
13402,44,,,11.810000,
13402,45,,,12.390000,
13402,46,,,13.010000,
13402,47,,,13.660000,
13402,48,,,14.350000,
13402,49,,,15.080000,
13402,50,,,15.860000,
13402,51,,,16.680000,
13402,52,,,17.560000,
13402,53,,,18.490000,
13402,54,,,19.480000,
13402,55,,,20.530000,
13402,56,,,21.640000,
13402,57,,,22.810000,
13402,58,,,24.050000,
13402,59,,,25.370000,
13402,60,,,26.790000,
13402,61,,,28.290000,
13402,62,,,29.900000,
13402,63,,,31.600000,
13402,64,,,33.400000,
13402,65,,,35.310000,
13402,66,,,37.350000,
13402,67,,,39.520000,
13402,68,,,41.860000,
13402,69,,,44.370000,
13402,70,,,47.090000,
13402,71,,,50.020000,
13402,72,,,53.180000,
13402,73,,,56.560000,
13402,74,,,60.200000,
13402,75,,,64.120000,
13402,76,,,68.370000,
13402,77,,,72.970000,
13402,78,,,77.960000,
13402,79,,,83.340000,
13402,80,,,89.140000,
13402,81,,,95.370000,
13402,82,,,102.070000,
13402,83,,,109.300000,
13402,84,,,117.130000,
13402,85,,,125.620000,
13403,20,,,4.040000,
13403,21,,,4.210000,
13403,22,,,4.380000,
13403,23,,,4.560000,
13403,24,,,4.750000,
13403,25,,,4.950000,
13403,26,,,5.160000,
13403,27,,,5.380000,
13403,28,,,5.620000,
13403,29,,,5.860000,
13403,30,,,6.120000,
13403,31,,,6.400000,
13403,32,,,6.690000,
13403,33,,,7.000000,
13403,34,,,7.320000,
13403,35,,,7.660000,
13403,36,,,8.030000,
13403,37,,,8.410000,
13403,38,,,8.810000,
13403,39,,,9.240000,
13403,40,,,9.690000,
13403,41,,,10.160000,
13403,42,,,10.660000,
13403,43,,,11.190000,
13403,44,,,11.740000,
13403,45,,,12.330000,
13403,46,,,12.950000,
13403,47,,,13.600000,
13403,48,,,14.280000,
13403,49,,,15.020000,
13403,50,,,15.790000,
13403,51,,,16.620000,
13403,52,,,17.500000,
13403,53,,,18.430000,
13403,54,,,19.420000,
13403,55,,,20.470000,
13403,56,,,21.570000,
13403,57,,,22.750000,
13403,58,,,23.990000,
13403,59,,,25.310000,
13403,60,,,26.730000,
13403,61,,,28.230000,
13403,62,,,29.840000,
13403,63,,,31.540000,
13403,64,,,33.340000,
13403,65,,,35.250000,
13403,66,,,37.290000,
13403,67,,,39.460000,
13403,68,,,41.800000,
13403,69,,,44.310000,
13403,70,,,47.030000,
13403,71,,,49.960000,
13403,72,,,53.120000,
13403,73,,,56.500000,
13403,74,,,60.140000,
13403,75,,,64.060000,
13403,76,,,68.310000,
13403,77,,,72.910000,
13403,78,,,77.900000,
13403,79,,,83.290000,
13403,80,,,89.080000,
13403,81,,,95.320000,
13403,82,,,102.010000,
13403,83,,,109.240000,
13403,84,,,117.070000,
13403,85,,,125.560000,
13405,20,,,4.340000,
13405,21,,,4.510000,
13405,22,,,4.690000,
13405,23,,,4.870000,
13405,24,,,5.070000,
13405,25,,,5.280000,
13405,26,,,5.490000,
13405,27,,,5.720000,
13405,28,,,5.960000,
13405,29,,,6.210000,
13405,30,,,6.480000,
13405,31,,,6.760000,
13405,32,,,7.060000,
13405,33,,,7.370000,
13405,34,,,7.710000,
13405,35,,,8.060000,
13405,36,,,8.430000,
13405,37,,,8.830000,
13405,38,,,9.240000,
13405,39,,,9.680000,
13405,40,,,10.140000,
13405,41,,,10.630000,
13405,42,,,11.150000,
13405,43,,,11.690000,
13405,44,,,12.260000,
13405,45,,,12.870000,
13405,46,,,13.500000,
13405,47,,,14.170000,
13405,48,,,14.880000,
13405,49,,,15.630000,
13405,50,,,16.440000,
13405,51,,,17.290000,
13405,52,,,18.200000,
13405,53,,,19.160000,
13405,54,,,20.180000,
13405,55,,,21.260000,
13405,56,,,22.410000,
13405,57,,,23.620000,
13405,58,,,24.900000,
13405,59,,,26.270000,
13405,60,,,27.730000,
13405,61,,,29.290000,
13405,62,,,30.950000,
13405,63,,,32.710000,
13405,64,,,34.570000,
13405,65,,,36.550000,
13405,66,,,38.650000,
13405,67,,,40.910000,
13405,68,,,43.320000,
13405,69,,,45.920000,
13405,70,,,48.730000,
13405,71,,,51.770000,
13405,72,,,55.040000,
13405,73,,,58.550000,
13405,74,,,62.310000,
13405,75,,,66.380000,
13405,76,,,70.770000,
13405,77,,,75.540000,
13405,78,,,80.700000,
13405,79,,,86.270000,
13405,80,,,92.250000,
13405,81,,,98.680000,
13405,82,,,105.570000,
13405,83,,,113.000000,
13405,84,,,121.010000,
13405,85,,,129.660000,
13406,20,,,4.220000,
13406,21,,,4.390000,
13406,22,,,4.560000,
13406,23,,,4.750000,
13406,24,,,4.950000,
13406,25,,,5.150000,
13406,26,,,5.370000,
13406,27,,,5.600000,
13406,28,,,5.830000,
13406,29,,,6.090000,
13406,30,,,6.350000,
13406,31,,,6.640000,
13406,32,,,6.940000,
13406,33,,,7.250000,
13406,34,,,7.590000,
13406,35,,,7.940000,
13406,36,,,8.310000,
13406,37,,,8.700000,
13406,38,,,9.120000,
13406,39,,,9.560000,
13406,40,,,10.020000,
13406,41,,,10.510000,
13406,42,,,11.020000,
13406,43,,,11.570000,
13406,44,,,12.140000,
13406,45,,,12.740000,
13406,46,,,13.380000,
13406,47,,,14.050000,
13406,48,,,14.760000,
13406,49,,,15.510000,
13406,50,,,16.320000,
13406,51,,,17.170000,
13406,52,,,18.080000,
13406,53,,,19.040000,
13406,54,,,20.060000,
13406,55,,,21.140000,
13406,56,,,22.280000,
13406,57,,,23.490000,
13406,58,,,24.780000,
13406,59,,,26.150000,
13406,60,,,27.610000,
13406,61,,,29.170000,
13406,62,,,30.830000,
13406,63,,,32.580000,
13406,64,,,34.450000,
13406,65,,,36.430000,
13406,66,,,38.530000,
13406,67,,,40.780000,
13406,68,,,43.200000,
13406,69,,,45.800000,
13406,70,,,48.610000,
13406,71,,,51.650000,
13406,72,,,54.920000,
13406,73,,,58.430000,
13406,74,,,62.190000,
13406,75,,,66.260000,
13406,76,,,70.650000,
13406,77,,,75.420000,
13406,78,,,80.580000,
13406,79,,,86.150000,
13406,80,,,92.130000,
13406,81,,,98.570000,
13406,82,,,105.460000,
13406,83,,,112.880000,
13406,84,,,120.900000,
13406,85,,,129.550000,
13407,20,,,4.160000,
13407,21,,,4.320000,
13407,22,,,4.500000,
13407,23,,,4.690000,
13407,24,,,4.880000,
13407,25,,,5.090000,
13407,26,,,5.310000,
13407,27,,,5.530000,
13407,28,,,5.770000,
13407,29,,,6.020000,
13407,30,,,6.290000,
13407,31,,,6.570000,
13407,32,,,6.870000,
13407,33,,,7.190000,
13407,34,,,7.520000,
13407,35,,,7.880000,
13407,36,,,8.250000,
13407,37,,,8.640000,
13407,38,,,9.060000,
13407,39,,,9.500000,
13407,40,,,9.960000,
13407,41,,,10.450000,
13407,42,,,10.960000,
13407,43,,,11.510000,
13407,44,,,12.080000,
13407,45,,,12.680000,
13407,46,,,13.320000,
13407,47,,,13.990000,
13407,48,,,14.700000,
13407,49,,,15.450000,
13407,50,,,16.250000,
13407,51,,,17.110000,
13407,52,,,18.010000,
13407,53,,,18.980000,
13407,54,,,20.000000,
13407,55,,,21.080000,
13407,56,,,22.220000,
13407,57,,,23.430000,
13407,58,,,24.720000,
13407,59,,,26.090000,
13407,60,,,27.550000,
13407,61,,,29.110000,
13407,62,,,30.760000,
13407,63,,,32.520000,
13407,64,,,34.390000,
13407,65,,,36.370000,
13407,66,,,38.470000,
13407,67,,,40.720000,
13407,68,,,43.140000,
13407,69,,,45.740000,
13407,70,,,48.550000,
13407,71,,,51.590000,
13407,72,,,54.860000,
13407,73,,,58.370000,
13407,74,,,62.130000,
13407,75,,,66.200000,
13407,76,,,70.590000,
13407,77,,,75.360000,
13407,78,,,80.520000,
13407,79,,,86.090000,
13407,80,,,92.070000,
13407,81,,,98.510000,
13407,82,,,105.400000,
13407,83,,,112.820000,
13407,84,,,120.840000,
13407,85,,,129.490000,
13408,20,,,4.870000,
13408,21,,,5.040000,
13408,22,,,5.230000,
13408,23,,,5.420000,
13408,24,,,5.620000,
13408,25,,,5.830000,
13408,26,,,6.060000,
13408,27,,,6.290000,
13408,28,,,6.540000,
13408,29,,,6.800000,
13408,30,,,7.080000,
13408,31,,,7.380000,
13408,32,,,7.690000,
13408,33,,,8.010000,
13408,34,,,8.360000,
13408,35,,,8.730000,
13408,36,,,9.120000,
13408,37,,,9.520000,
13408,38,,,9.960000,
13408,39,,,10.410000,
13408,40,,,10.890000,
13408,41,,,11.400000,
13408,42,,,11.940000,
13408,43,,,12.500000,
13408,44,,,13.100000,
13408,45,,,13.720000,
13408,46,,,14.380000,
13408,47,,,15.090000,
13408,48,,,15.830000,
13408,49,,,16.620000,
13408,50,,,17.460000,
13408,51,,,18.350000,
13408,52,,,19.300000,
13408,53,,,20.300000,
13408,54,,,21.370000,
13408,55,,,22.500000,
13408,56,,,23.690000,
13408,57,,,24.960000,
13408,58,,,26.300000,
13408,59,,,27.730000,
13408,60,,,29.260000,
13408,61,,,30.890000,
13408,62,,,32.620000,
13408,63,,,34.460000,
13408,64,,,36.410000,
13408,65,,,38.480000,
13408,66,,,40.680000,
13408,67,,,43.030000,
13408,68,,,45.560000,
13408,69,,,48.270000,
13408,70,,,51.210000,
13408,71,,,54.380000,
13408,72,,,57.800000,
13408,73,,,61.470000,
13408,74,,,65.390000,
13408,75,,,69.630000,
13408,76,,,74.210000,
13408,77,,,79.170000,
13408,78,,,84.520000,
13408,79,,,90.280000,
13408,80,,,96.450000,
13408,81,,,103.050000,
13408,82,,,110.070000,
13408,83,,,117.580000,
13408,84,,,125.600000,
13408,85,,,134.150000,
13409,20,,,4.500000,
13409,21,,,4.670000,
13409,22,,,4.850000,
13409,23,,,5.050000,
13409,24,,,5.250000,
13409,25,,,5.460000,
13409,26,,,5.690000,
13409,27,,,5.920000,
13409,28,,,6.170000,
13409,29,,,6.430000,
13409,30,,,6.710000,
13409,31,,,7.010000,
13409,32,,,7.320000,
13409,33,,,7.640000,
13409,34,,,7.990000,
13409,35,,,8.360000,
13409,36,,,8.750000,
13409,37,,,9.150000,
13409,38,,,9.590000,
13409,39,,,10.040000,
13409,40,,,10.520000,
13409,41,,,11.030000,
13409,42,,,11.570000,
13409,43,,,12.130000,
13409,44,,,12.730000,
13409,45,,,13.350000,
13409,46,,,14.020000,
13409,47,,,14.720000,
13409,48,,,15.460000,
13409,49,,,16.250000,
13409,50,,,17.090000,
13409,51,,,17.980000,
13409,52,,,18.930000,
13409,53,,,19.930000,
13409,54,,,21.000000,
13409,55,,,22.130000,
13409,56,,,23.320000,
13409,57,,,24.590000,
13409,58,,,25.930000,
13409,59,,,27.360000,
13409,60,,,28.890000,
13409,61,,,30.520000,
13409,62,,,32.260000,
13409,63,,,34.090000,
13409,64,,,36.040000,
13409,65,,,38.110000,
13409,66,,,40.310000,
13409,67,,,42.670000,
13409,68,,,45.190000,
13409,69,,,47.910000,
13409,70,,,50.850000,
13409,71,,,54.020000,
13409,72,,,57.440000,
13409,73,,,61.110000,
13409,74,,,65.040000,
13409,75,,,69.270000,
13409,76,,,73.850000,
13409,77,,,78.810000,
