Index,Plancode,IssueVersion,Sex,RateClass,Band
13400,1U146400,,Y,N,A
13401,1U146400,,Y,N,B
13402,1U146400,,Y,N,C
13403,1U146400,,Y,N,D
13404,1U146400,,Y,N,E
13405,1U146400,,Y,P,A
13406,1U146400,,Y,P,B
13407,1U146400,,Y,P,C
13408,1U146400,,Y,P,D
13409,1U146400,,Y,P,E
13410,1U146400,,Y,Q,A
13411,1U146400,,Y,Q,B
13412,1U146400,,Y,Q,C
13413,1U146400,,Y,Q,D
13414,1U146400,,Y,Q,E
13415,1U146400,,Y,R,A
13416,1U146400,,Y,R,B
13417,1U146400,,Y,R,C
13418,1U146400,,Y,R,D
13419,1U146400,,Y,R,E
13420,1U146400,,Y,S,A
13421,1U146400,,Y,S,B
13422,1U146400,,Y,S,C
13423,1U146400,,Y,S,D
13424,1U146400,,Y,S,E
13425,1U146400,,Y,T,A
13426,1U146400,,Y,T,B
13427,1U146400,,Y,T,C
13428,1U146400,,Y,T,D
13429,1U146400,,Y,T,E
