Index,IssueAge,CTP,TBL1CTP,MTP,TBL1MTP
13400,0,2.700000,0.140000,4.010000,0.600000
13400,1,2.690000,0.130000,3.980000,0.600000
13400,2,2.680000,0.130000,3.980000,0.600000
13400,3,2.660000,0.130000,3.890000,0.580000
13400,4,2.640000,0.130000,3.910000,0.590000
13400,5,2.610000,0.130000,3.910000,0.590000
13400,6,2.730000,0.140000,3.940000,0.590000
13400,7,2.860000,0.140000,4.060000,0.610000
13400,8,2.970000,0.150000,4.080000,0.610000
13400,9,3.100000,0.160000,4.200000,0.630000
13400,10,3.220000,0.160000,4.220000,0.630000
13400,11,3.410000,0.170000,4.340000,0.650000
13400,12,3.590000,0.180000,4.460000,0.670000
13400,13,3.780000,0.190000,4.580000,0.690000
13400,14,3.970000,0.200000,4.730000,0.710000
13400,15,4.150000,0.210000,4.850000,0.730000
13400,16,4.320000,0.220000,4.970000,0.750000
13400,17,4.470000,0.220000,5.090000,0.760000
13400,18,4.640000,0.230000,5.330000,0.800000
13400,19,4.800000,0.240000,5.450000,0.820000
13400,20,4.960000,0.250000,5.690000,0.850000
13400,21,5.150000,0.260000,5.810000,0.870000
13400,22,5.320000,0.270000,5.930000,0.890000
13400,23,5.510000,0.280000,6.070000,0.910000
13400,24,5.680000,0.280000,6.190000,0.930000
13400,25,5.870000,0.290000,6.410000,0.960000
13400,26,6.140000,0.310000,6.550000,0.980000
13400,27,6.400000,0.320000,6.670000,1.000000
13400,28,6.670000,0.330000,6.910000,1.040000
13400,29,6.930000,0.350000,7.060000,1.060000
13400,30,7.200000,0.360000,7.300000,1.100000
13400,31,7.580000,0.380000,7.540000,1.130000
13400,32,7.950000,0.400000,7.780000,1.170000
13400,33,8.330000,0.420000,8.040000,1.210000
13400,34,8.710000,0.440000,8.280000,1.240000
13400,35,9.090000,0.450000,8.540000,1.280000
13400,36,9.580000,0.480000,8.810000,1.320000
13400,37,10.070000,0.500000,9.170000,1.380000
13400,38,10.560000,0.530000,9.460000,1.420000
13400,39,11.050000,0.550000,9.820000,1.470000
13400,40,11.540000,0.580000,10.100000,1.520000
13400,41,12.220000,0.610000,10.580000,1.590000
13400,42,12.900000,0.650000,10.970000,1.650000
13400,43,13.580000,0.680000,11.350000,1.700000
13400,44,14.260000,0.710000,11.860000,1.780000
13400,45,14.940000,0.750000,12.240000,1.840000
13400,46,15.940000,0.800000,12.740000,1.910000
13400,47,16.940000,0.850000,13.250000,1.990000
13400,48,17.930000,0.900000,13.780000,2.070000
13400,49,18.940000,0.950000,14.280000,2.140000
13400,50,19.930000,1.000000,14.810000,2.220000
13400,51,21.230000,1.060000,15.430000,2.310000
13400,52,22.540000,1.130000,16.080000,2.410000
13400,53,23.830000,1.190000,16.630000,2.490000
13400,54,25.140000,1.260000,17.300000,2.600000
13400,55,26.440000,1.320000,17.980000,2.700000
13400,56,28.410000,1.420000,18.770000,2.820000
13400,57,30.370000,1.520000,19.560000,2.930000
13400,58,32.330000,1.620000,20.380000,3.060000
13400,59,34.290000,1.710000,21.220000,3.180000
13400,60,36.260000,1.810000,22.030000,3.300000
13400,61,38.950000,1.950000,23.040000,3.460000
13400,62,41.650000,2.080000,24.120000,3.620000
13400,63,44.340000,2.220000,25.340000,3.800000
13400,64,47.040000,2.350000,26.570000,3.990000
13400,65,49.730000,2.490000,27.910000,4.190000
13400,66,53.820000,2.690000,29.300000,4.400000
13400,67,57.200000,2.860000,30.700000,4.610000
13400,68,60.000000,3.000000,32.300000,4.850000
13400,69,60.000000,3.000000,33.910000,5.090000
13400,70,60.000000,3.000000,35.660000,5.350000
13400,71,60.000000,3.000000,37.150000,5.570000
13400,72,60.000000,3.000000,38.760000,5.810000
13400,73,60.000000,3.000000,40.390000,6.060000
13400,74,60.000000,3.000000,42.020000,6.300000
13400,75,60.000000,3.000000,43.780000,6.570000
13400,76,60.000000,3.000000,47.110000,7.070000
